prix,ville,departement,surface,pieces,latitude,longitude,source,url
284000,Dijon,21,97,5,47.33142,5.03151,PAP,https://www.pap.fr/annonces/maison-dijon-21000-r463500062
790000,Dijon,21,244,6,47.32421,5.03967,PAP,https://www.pap.fr/annonces/maison-dijon-21000-r463901103
575000,Dijon,21,126,6,47.32272,5.03263,PAP,https://www.pap.fr/annonces/maison-dijon-21000-r463301669
279000,Dijon,21,92,4,47.31461,5.04017,PAP,https://www.pap.fr/annonces/maison-dijon-21000-r463200003
349800,Fontaine-lès-Dijon (près Dijon),21,90,5,47.3323,5.01692,PAP,https://www.pap.fr/annonces/maison-fontaine-les-dijon-21121-r463003631
625000,Daix (près Dijon),21,172,6,47.32359,4.98306,PAP,https://www.pap.fr/annonces/maison-daix-21121-r464102292
510000,Chenôve (près Dijon),21,255,8,47.30004,5.01211,PAP,https://www.pap.fr/annonces/maison-chenove-21300-r462001636
390000,Le Mans,72,140,5,48.0064,0.20522,PAP,https://www.pap.fr/annonces/maison-le-mans-72000-r464400210
239000,Le Mans,72,90,4,48.00272,0.18898,PAP,https://www.pap.fr/annonces/maison-le-mans-72000-r463901697
294000,Le Mans,72,141,6,48.01289,0.20174,PAP,https://www.pap.fr/annonces/maison-le-mans-72000-r463803746
245000,Le Mans,72,85,3,48.00989,0.2025,PAP,https://www.pap.fr/annonces/maison-le-mans-72000-r463800293
248000,Le Mans,72,87,3,48.0174,0.19631,PAP,https://www.pap.fr/annonces/maison-le-mans-72000-r463102112
490000,Le Mans,72,193,6,48.01233,0.19645,PAP,https://www.pap.fr/annonces/maison-le-mans-72000-r464101792
180000,Le Mans,72,91,4,48.00783,0.20345,PAP,https://www.pap.fr/annonces/maison-le-mans-72000-r462301319
275000,Laigné-en-Belin (près Le Mans),72,173,6,47.90355,0.21606,PAP,https://www.pap.fr/annonces/maison-laigne-en-belin-72220-r462200539
487900,Orry-La-Ville,60,160,8,49.15606,2.51225,PAP,https://www.pap.fr/annonces/maison-orry-la-ville-60560-r461202601
374000,Marcq-En-Barœul,59,93,5,50.6805,3.11173,PAP,https://www.pap.fr/annonces/maison-marcq-en-baroeul-59700-r464501650
380000,Compiègne,60,107,6,49.39309,2.83144,PAP,https://www.pap.fr/annonces/maison-compiegne-60200-r464501948
550000,Chantilly,60,125,5,49.19724,2.50364,PAP,https://www.pap.fr/annonces/maison-chantilly-60500-r464502199
295000,Auneuil,60,133,6,49.38098,1.99393,PAP,https://www.pap.fr/annonces/maison-auneuil-60390-r462602808
490000,Bondues,59,124,6,50.70024,3.09988,PAP,https://www.pap.fr/annonces/maison-bondues-59910-r464202492
358800,Charly-Sur-Marne,02,212,6,48.9827,3.29636,PAP,https://www.pap.fr/annonces/maison-charly-sur-marne-02310-r463802854
168000,Hénin-Beaumont,62,210,10,50.40443,2.95181,PAP,https://www.pap.fr/annonces/maison-henin-beaumont-62110-r458101002
230000,Avricourt,60,195,6,49.64462,2.86047,PAP,https://www.pap.fr/annonces/maison-avricourt-60310-r464203122
680000,Dunkerque,59,140,6,51.04035,2.34453,PAP,https://www.pap.fr/annonces/maison-dunkerque-59140-r461802684
180000,Sorbais,02,154,6,49.90452,3.85379,PAP,https://www.pap.fr/annonces/maison-sorbais-02580-r463100160
279000,Argenteuil (Orgemont),95,83,4,48.95573,2.26049,PAP,https://www.pap.fr/annonces/maison-argenteuil-95100-r456300262
365000,Argenteuil (Les Coteaux),95,76,3,48.93672,2.28148,PAP,https://www.pap.fr/annonces/maison-argenteuil-95100-r461401278
470000,Argenteuil (Coteaux),95,155,5,48.95316,2.25104,PAP,https://www.pap.fr/annonces/maison-argenteuil-95100-r460602085
499900,Argenteuil (Coteaux),95,139,6,48.93178,2.22652,PAP,https://www.pap.fr/annonces/maison-argenteuil-95100-r462101581
395000,Argenteuil,95,100,6,48.9473,2.21455,PAP,https://www.pap.fr/annonces/maison-argenteuil-95100-r462301010
195000,Argenteuil,95,50,3,48.96496,2.24394,PAP,https://www.pap.fr/annonces/maison-argenteuil-95100-r461701304
399000,Argenteuil (Coteaux),95,120,6,48.93965,2.2424,PAP,https://www.pap.fr/annonces/maison-argenteuil-95100-r464400369
305000,Argenteuil,95,70,3,48.9335,2.2245,PAP,https://www.pap.fr/annonces/maison-argenteuil-95100-r464301837
445000,Argenteuil,95,160,6,48.9294,2.23115,PAP,https://www.pap.fr/annonces/maison-argenteuil-95100-r462901390
349000,Argenteuil,95,130,6,48.96869,2.25618,PAP,https://www.pap.fr/annonces/maison-argenteuil-95100-r464301961
449000,Argenteuil (Haut Coteaux),95,115,4,48.94834,2.2584,PAP,https://www.pap.fr/annonces/maison-argenteuil-95100-r460502817
640000,Fontenay-Sous-Bois,94,100,5,48.85067,2.47872,PAP,https://www.pap.fr/annonces/maison-fontenay-sous-bois-94120-r464102699
795000,Fontenay-Sous-Bois,94,160,6,48.84961,2.47949,PAP,https://www.pap.fr/annonces/maison-fontenay-sous-bois-94120-r463000109
515000,Fontenay-Sous-Bois (Plateau),94,130,4,48.83866,2.49371,PAP,https://www.pap.fr/annonces/maison-fontenay-sous-bois-94120-r459202805
629000,Fontenay-Sous-Bois,94,109,4,48.85302,2.48952,PAP,https://www.pap.fr/annonces/maison-fontenay-sous-bois-94120-r463302801
880000,Fontenay-Sous-Bois,94,180,6,48.85784,2.46878,PAP,https://www.pap.fr/annonces/maison-fontenay-sous-bois-94120-r458403698
699000,Fontenay-Sous-Bois,94,100,5,48.83642,2.45634,PAP,https://www.pap.fr/annonces/maison-fontenay-sous-bois-94120-r463700580
540000,Fontenay-Sous-Bois (Le Plateau),94,92,3,48.84955,2.46497,PAP,https://www.pap.fr/annonces/maison-fontenay-sous-bois-94120-r457302903
1280000,Fontenay-Sous-Bois,94,269,8,48.84628,2.47937,PAP,https://www.pap.fr/annonces/maison-fontenay-sous-bois-94120-r463501656
699000,Fontenay-Sous-Bois,94,180,6,48.83329,2.44236,PAP,https://www.pap.fr/annonces/maison-fontenay-sous-bois-r458700816
399000,Fontenay-Sous-Bois,94,59,4,48.84407,2.45186,PAP,https://www.pap.fr/annonces/maison-fontenay-sous-bois-94120-r460600345
680000,Antony,92,100,5,48.7413,2.33073,PAP,https://www.pap.fr/annonces/maison-antony-92160-r464502492
629000,Antony (Fontaine Michalon),92,113,6,48.73633,2.31436,PAP,https://www.pap.fr/annonces/maison-antony-92160-r463603274
1049000,Antony,92,155,7,48.72676,2.3072,PAP,https://www.pap.fr/annonces/maison-antony-r462901578
840000,Antony,92,145,6,48.75087,2.30993,PAP,https://www.pap.fr/annonces/maison-antony-92160-r463001639
598000,Verrières-Le-Buisson (près Antony),91,105,6,48.75004,2.27445,PAP,https://www.pap.fr/annonces/maison-verrieres-le-buisson-91370-r463403502
499990,Champigny-Sur-Marne,94,124,6,48.83037,2.50576,PAP,https://www.pap.fr/annonces/maison-champigny-sur-marne-94500-r463700695
610000,Champigny-Sur-Marne,94,170,7,48.81952,2.53785,PAP,https://www.pap.fr/annonces/maison-champigny-sur-marne-94500-r463601865
510000,Champigny-Sur-Marne,94,130,5,48.79046,2.51816,PAP,https://www.pap.fr/annonces/maison-champigny-sur-marne-94500-r462301668
322000,Champigny-Sur-Marne,94,75,4,48.82082,2.52223,PAP,https://www.pap.fr/annonces/maison-champigny-sur-marne-94500-r464402321
779000,Champigny-Sur-Marne,94,220,11,48.81441,2.51607,PAP,https://www.pap.fr/annonces/maison-champigny-sur-marne-94500-r460002126
569000,Champigny-Sur-Marne (Tremblay),94,164,7,48.79821,2.53603,PAP,https://www.pap.fr/annonces/maison-champigny-sur-marne-94500-r463500815
368000,Champigny-Sur-Marne,94,65,3,48.81511,2.52366,PAP,https://www.pap.fr/annonces/maison-champigny-sur-marne-94500-r463703397
469000,Champigny-Sur-Marne (Coeuilly),94,133,5,48.7909,2.51318,PAP,https://www.pap.fr/annonces/maison-champigny-sur-marne-94500-r462502403
308000,Champigny-Sur-Marne,94,84,3,48.8341,2.49006,PAP,https://www.pap.fr/annonces/maison-champigny-sur-marne-94500-r459903272
